date,holiday,weekday,dayoff,dayoff_prev,dayoff_next
2012/1/1,1,Sunday,1,0,1
2012/1/2,1,Monday,1,1,0
2012/1/3,0,Tuesday,0,1,0
2012/1/4,0,Wednesday,0,0,0
2012/1/5,0,Thursday,0,0,0
2012/1/6,0,Friday,0,0,1
2012/1/7,0,Saturday,1,0,1
2012/1/8,0,Sunday,1,1,1
2012/1/9,1,Monday,1,1,0
2012/1/10,0,Tuesday,0,1,0
2012/1/11,0,Wednesday,0,0,0
2012/1/12,0,Thursday,0,0,0
2012/1/13,0,Friday,0,0,1
2012/1/14,0,Saturday,1,0,1
2012/1/15,0,Sunday,1,1,0
2012/1/16,0,Monday,0,1,0
2012/1/17,0,Tuesday,0,0,0
2012/1/18,0,Wednesday,0,0,0
2012/1/19,0,Thursday,0,0,0
2012/1/20,0,Friday,0,0,1
2012/1/21,0,Saturday,1,0,1
2012/1/22,0,Sunday,1,1,0
2012/1/23,0,Monday,0,1,0
2012/1/24,0,Tuesday,0,0,0
2012/1/25,0,Wednesday,0,0,0
2012/1/26,0,Thursday,0,0,0
2012/1/27,0,Friday,0,0,1
2012/1/28,0,Saturday,1,0,1
2012/1/29,0,Sunday,1,1,0
2012/1/30,0,Monday,0,1,0
2012/1/31,0,Tuesday,0,0,0
2012/2/1,0,Wednesday,0,0,0
2012/2/2,0,Thursday,0,0,0
2012/2/3,0,Friday,0,0,1
2012/2/4,0,Saturday,1,0,1
2012/2/5,0,Sunday,1,1,0
2012/2/6,0,Monday,0,1,0
2012/2/7,0,Tuesday,0,0,0
2012/2/8,0,Wednesday,0,0,0
2012/2/9,0,Thursday,0,0,0
2012/2/10,0,Friday,0,0,1
2012/2/11,1,Saturday,1,0,1
2012/2/12,0,Sunday,1,1,0
2012/2/13,0,Monday,0,1,0
2012/2/14,0,Tuesday,0,0,0
2012/2/15,0,Wednesday,0,0,0
2012/2/16,0,Thursday,0,0,0
2012/2/17,0,Friday,0,0,1
2012/2/18,0,Saturday,1,0,1
2012/2/19,0,Sunday,1,1,0
2012/2/20,0,Monday,0,1,0
2012/2/21,0,Tuesday,0,0,0
2012/2/22,0,Wednesday,0,0,0
2012/2/23,0,Thursday,0,0,0
2012/2/24,0,Friday,0,0,1
2012/2/25,0,Saturday,1,0,1
2012/2/26,0,Sunday,1,1,0
2012/2/27,0,Monday,0,1,0
2012/2/28,0,Tuesday,0,0,0
2012/2/29,0,Wednesday,0,0,0
2012/3/1,0,Thursday,0,0,0
2012/3/2,0,Friday,0,0,1
2012/3/3,0,Saturday,1,0,1
2012/3/4,0,Sunday,1,1,0
2012/3/5,0,Monday,0,1,0
2012/3/6,0,Tuesday,0,0,0
2012/3/7,0,Wednesday,0,0,0
2012/3/8,0,Thursday,0,0,0
2012/3/9,0,Friday,0,0,1
2012/3/10,0,Saturday,1,0,1
2012/3/11,0,Sunday,1,1,0
2012/3/12,0,Monday,0,1,0
2012/3/13,0,Tuesday,0,0,0
2012/3/14,0,Wednesday,0,0,0
2012/3/15,0,Thursday,0,0,0
2012/3/16,0,Friday,0,0,1
2012/3/17,0,Saturday,1,0,1
2012/3/18,0,Sunday,1,1,0
2012/3/19,0,Monday,0,1,1
2012/3/20,1,Tuesday,1,0,0
2012/3/21,0,Wednesday,0,1,0
2012/3/22,0,Thursday,0,0,0
2012/3/23,0,Friday,0,0,1
2012/3/24,0,Saturday,1,0,1
2012/3/25,0,Sunday,1,1,0
2012/3/26,0,Monday,0,1,0
2012/3/27,0,Tuesday,0,0,0
2012/3/28,0,Wednesday,0,0,0
2012/3/29,0,Thursday,0,0,0
2012/3/30,0,Friday,0,0,1
2012/3/31,0,Saturday,1,0,1
2012/4/1,0,Sunday,1,1,0
2012/4/2,0,Monday,0,1,0
2012/4/3,0,Tuesday,0,0,0
2012/4/4,0,Wednesday,0,0,0
2012/4/5,0,Thursday,0,0,0
2012/4/6,0,Friday,0,0,1
2012/4/7,0,Saturday,1,0,1
2012/4/8,0,Sunday,1,1,0
2012/4/9,0,Monday,0,1,0
2012/4/10,0,Tuesday,0,0,0
2012/4/11,0,Wednesday,0,0,0
2012/4/12,0,Thursday,0,0,0
2012/4/13,0,Friday,0,0,1
2012/4/14,0,Saturday,1,0,1
2012/4/15,0,Sunday,1,1,0
2012/4/16,0,Monday,0,1,0
2012/4/17,0,Tuesday,0,0,0
2012/4/18,0,Wednesday,0,0,0
2012/4/19,0,Thursday,0,0,0
2012/4/20,0,Friday,0,0,1
2012/4/21,0,Saturday,1,0,1
2012/4/22,0,Sunday,1,1,0
2012/4/23,0,Monday,0,1,0
2012/4/24,0,Tuesday,0,0,0
2012/4/25,0,Wednesday,0,0,0
2012/4/26,0,Thursday,0,0,0
2012/4/27,0,Friday,0,0,1
2012/4/28,0,Saturday,1,0,1
2012/4/29,1,Sunday,1,1,1
2012/4/30,1,Monday,1,1,0
2012/5/1,0,Tuesday,0,1,0
2012/5/2,0,Wednesday,0,0,1
2012/5/3,1,Thursday,1,0,1
2012/5/4,1,Friday,1,1,1
2012/5/5,1,Saturday,1,1,1
2012/5/6,0,Sunday,1,1,0
2012/5/7,0,Monday,0,1,0
2012/5/8,0,Tuesday,0,0,0
2012/5/9,0,Wednesday,0,0,0
2012/5/10,0,Thursday,0,0,0
2012/5/11,0,Friday,0,0,1
2012/5/12,0,Saturday,1,0,1
2012/5/13,0,Sunday,1,1,0
2012/5/14,0,Monday,0,1,0
2012/5/15,0,Tuesday,0,0,0
2012/5/16,0,Wednesday,0,0,0
