date,openL,closeL,openS,closeS
2012/1/1,8:00,22:00,8:00,22:00
2012/1/2,8:00,22:00,8:30,22:00
2012/1/3,8:30,22:00,9:00,22:00
2012/1/4,9:00,22:00,9:00,22:00
2012/1/5,9:00,22:00,9:00,22:00
2012/1/6,9:00,22:00,9:00,22:00
2012/1/7,9:00,22:00,9:00,22:00
2012/1/8,8:30,22:00,9:00,22:00
2012/1/9,8:30,22:00,9:00,22:00
2012/1/10,10:00,19:00,10:00,19:00
2012/1/11,10:00,19:00,10:00,19:00
2012/1/12,10:00,19:00,10:00,19:00
2012/1/13,10:00,19:00,10:00,19:00
2012/1/14,9:00,21:00,10:00,20:00
2012/1/15,9:00,20:00,9:00,20:00
2012/1/16,10:00,19:00,10:00,19:00
2012/1/17,10:00,19:00,10:00,19:00
2012/1/18,10:00,19:00,10:00,19:00
2012/1/19,10:00,19:00,10:00,19:00
2012/1/20,10:00,19:00,10:00,20:00
2012/1/21,9:00,22:00,10:00,22:00
2012/1/22,8:30,21:00,9:00,21:00
2012/1/23,10:00,19:00,10:00,20:00
2012/1/24,10:00,19:00,10:00,20:00
2012/1/25,10:00,19:00,10:00,20:00
2012/1/26,10:00,19:00,10:00,20:00
2012/1/27,10:00,19:00,10:00,19:00
2012/1/28,9:00,22:00,9:00,22:00
2012/1/29,8:30,21:00,9:00,22:00
2012/1/30,10:00,20:00,10:00,19:00
2012/1/31,10:00,20:00,10:00,19:00
2012/2/1,10:00,20:00,10:00,19:00
2012/2/2,10:00,20:00,10:00,19:00
2012/2/3,10:00,20:00,10:00,22:00
2012/2/4,9:00,22:00,9:00,22:00
2012/2/5,9:00,21:00,9:00,22:00
2012/2/6,10:00,20:00,10:00,22:00
2012/2/7,10:00,20:00,10:00,22:00
2012/2/8,10:00,20:00,10:00,20:00
2012/2/9,10:00,20:00,10:00,20:00
2012/2/10,10:00,20:00,9:00,22:00
2012/2/11,9:00,22:00,9:00,22:00
2012/2/12,8:30,21:00,9:00,22:00
2012/2/13,10:00,20:00,10:00,22:00
2012/2/14,10:00,20:00,10:00,22:00
2012/2/15,10:00,20:00,10:00,19:00
2012/2/16,10:00,20:00,10:00,19:00
2012/2/17,10:00,20:00,10:00,20:00
2012/2/18,9:00,22:00,9:00,22:00
2012/2/19,8:30,21:00,9:00,22:00
2012/2/20,9:00,21:00,10:00,19:00
2012/2/21,9:00,21:00,10:00,19:00
2012/2/22,9:00,21:00,10:00,19:00
2012/2/23,9:00,21:00,10:00,19:00
2012/2/24,9:00,21:00,10:00,21:00
2012/2/25,9:00,22:00,9:00,22:00
2012/2/26,8:30,22:00,9:00,22:00
2012/2/27,9:00,22:00,10:00,21:00
2012/2/28,9:00,22:00,10:00,21:00
2012/2/29,9:00,22:00,10:00,21:00
2012/3/1,9:00,22:00,9:00,22:00
2012/3/2,9:00,22:00,9:00,22:00
2012/3/3,8:00,22:00,9:00,22:00
2012/3/4,8:00,22:00,9:00,22:00
2012/3/5,9:00,22:00,9:00,22:00
2012/3/6,9:00,22:00,9:00,22:00
2012/3/7,9:00,22:00,9:00,22:00
2012/3/8,9:00,22:00,9:00,22:00
2012/3/9,9:00,22:00,9:00,22:00
2012/3/10,8:00,22:00,8:00,22:00
2012/3/11,8:00,22:00,8:30,22:00
2012/3/12,9:00,22:00,9:00,22:00
2012/3/13,9:00,22:00,9:00,22:00
2012/3/14,9:00,22:00,9:00,22:00
2012/3/15,9:00,22:00,9:00,22:00
